id,offset,name,abbr
1,-10,(GMT-10:00) Hawaii, HADT
2,-9,(GMT-09:00) Alaska, AKST
3,-8,(GMT-08:00) Pacific Time (US &amp; Canada), PST
4,-7,(GMT-07:00) Arizona,
5,-7,(GMT-07:00) Mountain Time (US &amp; Canada),
6,-6,(GMT-06:00) Central Time (US &amp; Canada),
7,-5,(GMT-05:00) Eastern Time (US &amp; Canada),
8,-5,(GMT-05:00) Indiana (East),
9,-12,(GMT-12:00) International Date Line West,
10,-11,(GMT-11:00) Midway Island,
11,-11,(GMT-11:00) Samoa,
12,-8,(GMT-08:00) Tijuana,
13,-7,(GMT-07:00) Chihuahua,
14,-7,(GMT-07:00) La Paz,
15,-7,(GMT-07:00) Mazatlan,
16,-6,(GMT-06:00) Central America,
17,-6,(GMT-06:00) Guadalajara,
18,-6,(GMT-06:00) Mexico City,
19,-6,(GMT-06:00) Monterrey,
20,-6,(GMT-06:00) Saskatchewan,
21,-5,(GMT-05:00) Bogota,
22,-5,(GMT-05:00) Lima,
23,-5,(GMT-05:00) Quito,
24,-4,(GMT-04:00) Atlantic Time (Canada),
25,-4,(GMT-04:00) Caracas,
26,-4,(GMT-04:00) La Paz,
27,-4,(GMT-04:00) Santiago,
28,-3.5,(GMT-03:30) Newfoundland,
29,-3,(GMT-03:00) Brasilia,
30,-3,(GMT-03:00) Buenos Aires,
31,-3,(GMT-03:00) Georgetown,
32,-3,(GMT-03:00) Greenland,
33,-2,(GMT-02:00) Mid-Atlantic,
34,-1,(GMT-01:00) Azores,
35,-1,(GMT-01:00) Cape Verde Is.,
36,0,(GMT) Casablanca,
37,0,(GMT) Dublin,
38,0,(GMT) Edinburgh,
39,0,(GMT) Lisbon,
40,0,(GMT) London,
41,0,(GMT) Monrovia,
42,1,(GMT+01:00) Amsterdam,
43,1,(GMT+01:00) Belgrade,
44,1,(GMT+01:00) Berlin,
45,1,(GMT+01:00) Bern,
46,1,(GMT+01:00) Bratislava,
47,1,(GMT+01:00) Brussels,
48,1,(GMT+01:00) Budapest,
49,1,(GMT+01:00) Copenhagen,
50,1,(GMT+01:00) Ljubljana,
51,1,(GMT+01:00) Madrid,
52,1,(GMT+01:00) Paris,
53,1,(GMT+01:00) Prague,
54,1,(GMT+01:00) Rome,
55,1,(GMT+01:00) Sarajevo,
56,1,(GMT+01:00) Skopje,
57,1,(GMT+01:00) Stockholm,
58,1,(GMT+01:00) Vienna,
59,1,(GMT+01:00) Warsaw,
60,1,(GMT+01:00) West Central Africa,
61,1,(GMT+01:00) Zagreb,
62,2,(GMT+02:00) Athens,
63,2,(GMT+02:00) Bucharest,
64,2,(GMT+02:00) Cairo,
65,2,(GMT+02:00) Harare,
66,2,(GMT+02:00) Helsinki,
67,2,(GMT+02:00) Istanbul,
68,2,(GMT+02:00) Jerusalem,
69,2,(GMT+02:00) Kyev,
70,2,(GMT+02:00) Minsk,
71,2,(GMT+02:00) Pretoria,
72,2,(GMT+02:00) Riga,
73,2,(GMT+02:00) Sofia,
74,2,(GMT+02:00) Tallinn,
75,2,(GMT+02:00) Vilnius,
76,3,(GMT+03:00) Baghdad,
77,3,(GMT+03:00) Kuwait,
78,3,(GMT+03:00) Moscow,
79,3,(GMT+03:00) Nairobi,
80,3,(GMT+03:00) Riyadh,
81,3,(GMT+03:00) St. Petersburg,
82,3,(GMT+03:00) Volgograd,
83,3.5,(GMT+03:30) Tehran,
84,4,(GMT+04:00) Abu Dhabi,
85,4,(GMT+04:00) Baku,
86,4,(GMT+04:00) Muscat,
87,4,(GMT+04:00) Tbilisi,
88,4,(GMT+04:00) Yerevan,
89,4.5,(GMT+04:30) Kabul,
90,5,(GMT+05:00) Ekaterinburg,
91,5,(GMT+05:00) Islamabad,
92,5,(GMT+05:00) Karachi,
93,5,(GMT+05:00) Tashkent,
94,5.5,(GMT+05:30) Chennai,
95,5.5,(GMT+05:30) Kolkata,
96,5.5,(GMT+05:30) Mumbai,
97,5.5,(GMT+05:30) New Delhi,
98,5.75,(GMT+05:45) Kathmandu,
99,6,(GMT+06:00) Almaty,
100,6,(GMT+06:00) Astana,
101,6,(GMT+06:00) Dhaka,
102,6,(GMT+06:00) Novosibirsk,
103,6,(GMT+06:00) Sri Jayawardenepura,
104,6.5,(GMT+06:30) Rangoon,
105,7,(GMT+07:00) Bangkok,
106,7,(GMT+07:00) Hanoi,
107,7,(GMT+07:00) Jakarta,
108,7,(GMT+07:00) Krasnoyarsk,
109,8,(GMT+08:00) Beijing,
110,8,(GMT+08:00) Chongqing,
111,8,(GMT+08:00) Hong Kong,
112,8,(GMT+08:00) Irkutsk,
113,8,(GMT+08:00) Kuala Lumpur,
114,8,(GMT+08:00) Perth,
115,8,(GMT+08:00) Singapore,
116,8,(GMT+08:00) Taipei,
117,8,(GMT+08:00) Ulaan Bataar,
118,8,(GMT+08:00) Urumqi,
119,9,(GMT+09:00) Osaka,
120,9,(GMT+09:00) Sapporo,
121,9,(GMT+09:00) Seoul,
122,9,(GMT+09:00) Tokyo,
123,9,(GMT+09:00) Yakutsk,
124,9.5,(GMT+09:30) Adelaide,
125,9.5,(GMT+09:30) Darwin,
126,10,(GMT+10:00) Brisbane,
127,10,(GMT+10:00) Canberra,
128,10,(GMT+10:00) Guam,
129,10,(GMT+10:00) Hobart,
130,10,(GMT+10:00) Melbourne,
131,10,(GMT+10:00) Port Moresby,
132,10,(GMT+10:00) Sydney,
133,10,(GMT+10:00) Vladivostok,
134,11,(GMT+11:00) Magadan,
135,11,(GMT+11:00) New Caledonia,
136,11,(GMT+11:00) Solomon Is.,
137,12,(GMT+12:00) Auckland,
138,12,(GMT+12:00) Fiji,
139,12,(GMT+12:00) Kamchatka,
140,12,(GMT+12:00) Marshall Is.,
141,12,(GMT+12:00) Wellington,
142,13,(GMT+13:00) Nukualofa,
